raw_text,cyber attack
"Zooming with the Grandkids, Nieces, and Nephews: Five Free and Easy Video Chat Apps for the Holidays All the kids are doing it, and so can you. If you haven’t hopped onto a video chat with the family yet, the holidays are a great time to give it a whirl. While there are plenty of […]
The post Zooming with the Grandkids: Five Easy Video Chat Apps for the Holidays (https://www.mcafee.com/blogs/consumer/family-safety/zooming-with-the-grandkids-five-easy-video-chat-apps-for-the-holidays/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"Operation Diànxùn: Cyberespionage Campaign Targeting Telecommunication Companies
https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-dianxun-cyberespionage-campaign-targeting-telecommunication-companies/",1
"Protect Your Digital Wellness: Don’t Post Your Vaccination Card Online  Think Twice Before Posting Your Vaccination Card on Social Media After much anticipation, you finally get a notification that you’re eligible to receive your COVID-19 vaccine. Upon getting your first dose, you may be eager to celebrate by sharing a picture of your vaccination card […]
The post Protect Your Digital Wellness: Don’t Post Your Vaccination Card Online (https://www.mcafee.com/blogs/consumer/consumer-threat-notices/protect-your-digital-wellness-dont-post-your-vaccination-card-online/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"Microsoft announces new Windows 11-powered Surface devices At its Surface event, Microsoft announced four new devices - Surface Duo 2, Surface Go 3, Surface Laptop Studio, and Surface Pro 8.",0
"Keybase secure messaging fixes photo-leaking bug – patch now!
https://nakedsecurity.sophos.com/2021/02/23/keybase-secure-messaging-fixes-photo-leaking-bug-patch-now/

It's a bit like Snapchat all over again - but this bug was quickly fixed.",0
"Quantum computing is the next frontier in computer science. It can bring untold benefits, allowing the development of new materials, tackling pandemics and making the world a greener, safer place. But it also threatens to break the encryption that keeps our data safe from prying eyes. France’s recent announcement to invest €1.8b into Europe’s quantum […]
The post Europe’s Quantum Story is Accelerating, and the World Will be Better for it (https://www.mcafee.com/blogs/other-blogs/executive-perspectives/europes-quantum-story-is-accelerating-and-the-world-will-be-better-for-it/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0
"Top Ten Tips for Protecting Your Identity, Finances, and Security Online
https://www.mcafee.com/blogs/consumer/top-ten-tips-for-protecting-your-identity-finances-and-security-online/",0
"Network Detection & Response: The Next Frontier in Fighting the Human Problem
https://threatpost.com/network-detection-response-human-problem/165332/

Justin Jett, director of audit and compliance for Plixer, discusses the transformation of network-traffic analytics and what it means for cybersecurity now.",0
"Malicious Mozilla Firefox Extension Allows Gmail Takeover
https://threatpost.com/malicious-mozilla-firefox-gmail/164263/

The malicious extension, FriarFox, snoops in on both Firefox and Gmail-related data.",1
"Don’t Sweat Your Security: How to Safely Incorporate IoT Into Your Fitness Routine
https://www.mcafee.com/blogs/consumer/mobile-and-iot-security/how-to-keep-you-fitness-iot-devices-secured/",0
