,raw_text,fraud,hacker groups,government,corporation,unrelated,darknet,cyber defense,hacking,security concepts,security products,network security,cyberwar,geopolitical,data breach,vulnerability,platform,cyber attack
0,"McAfee MVISION Solutions Meet FedRAMP Cloud Security Requirements
https://www.mcafee.com/blogs/enterprise/mcafee-mvision-solutions-meet-fedramp-cloud-security-requirements/",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,"Today’s U.S. government is in a race to modernize its IT infrastructure to support ever more complicated missions, growing workloads and increasingly distributed teams—and do so facing a constantly evolving threat landscape. To support these efforts, McAfee has pursued and received a Federal Risk and Authorization Management Program (FedRAMP) Authorization designation for McAfee MVISION for […]
The post McAfee MVISION Solutions Meet FedRAMP Cloud Security Requirements (https://www.mcafee.com/blogs/enterprise/mcafee-mvision-solutions-meet-fedramp-cloud-security-requirements/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,"What Truebill and Other Financial Apps Have in Common With EDR
https://www.mcafee.com/blogs/enterprise/endpoint-security/what-truebill-and-other-financial-apps-have-in-common-with-edr/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"Truebill, Chargebee, Fusebill and other financial apps have been inundating my social feeds and until recently I didn’t understand why I would need one of these apps. I’m the type that knows her bank account  balance to the penny and I was shocked to discover that many of my co-workers and, of course, my college […]
The post What Truebill and Other Financial Apps Have in Common With EDR (https://www.mcafee.com/blogs/enterprise/endpoint-security/what-truebill-and-other-financial-apps-have-in-common-with-edr/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Free VPNs May Still Come with a Price
https://www.mcafee.com/blogs/consumer/free-vpns-may-still-come-with-a-price/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,"Free VPNs May Still Come with a Price If we’re being honest, many of us are consuming a lot of online content these days, whether it be for work, education, or sheer entertainment. I know my family is trying to balance what we need to do online, like meetings and classes, with fun activities like […]
The post Free VPNs May Still Come with a Price (https://www.mcafee.com/blogs/consumer/free-vpns-may-still-come-with-a-price/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,"5 Fun Ways to Keep Family Connections Strong (and Secure) This Holiday 
https://www.mcafee.com/blogs/consumer/family-safety/5-fun-ways-to-keep-family-connections-strong-and-secure-this-holiday/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,"5 Fun Ways to Keep Family Connections Strong (and Secure) This Holiday The reality is beginning to hit: The holiday season will look and feel different this year. Traditional family gatherings, complete with mile-long dinner tables and flag football games, are now considered COVID “super spreader” events, putting a dent in plans for large gatherings. […]
The post 5 Fun Ways to Keep Family Connections Strong (and Secure) This Holiday  (https://www.mcafee.com/blogs/consumer/family-safety/5-fun-ways-to-keep-family-connections-strong-and-secure-this-holiday/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,"McAfee Team Members Share Their Virtual Onboarding Experiences
https://www.mcafee.com/blogs/other-blogs/life-at-mcafee/mcafee-team-members-share-their-virtual-onboarding-experiences/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,"At McAfee, ensuring our new team members are well prepared and supported for their roles is a top priority. From the first day of onboarding, team members are nurtured and given the tools they need for successful development. McAfee’s traditional in-person orientation process has evolved virtually because of the pandemic. But the approach and goal […]
The post McAfee Team Members Share Their Virtual Onboarding Experiences (https://www.mcafee.com/blogs/other-blogs/life-at-mcafee/mcafee-team-members-share-their-virtual-onboarding-experiences/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,"Zooming with the Grandkids: Five Easy Video Chat Apps for the Holidays
https://www.mcafee.com/blogs/consumer/family-safety/zooming-with-the-grandkids-five-easy-video-chat-apps-for-the-holidays/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,"Zooming with the Grandkids, Nieces, and Nephews: Five Free and Easy Video Chat Apps for the Holidays All the kids are doing it, and so can you. If you haven’t hopped onto a video chat with the family yet, the holidays are a great time to give it a whirl. While there are plenty of […]
The post Zooming with the Grandkids: Five Easy Video Chat Apps for the Holidays (https://www.mcafee.com/blogs/consumer/family-safety/zooming-with-the-grandkids-five-easy-video-chat-apps-for-the-holidays/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,"70,000 Phishing Emails Sent Impersonating the IRS: How to Stay Protected
https://www.mcafee.com/blogs/consumer/consumer-threat-notices/70000-phishing-emails-sent-impersonating-the-irs-how-to-stay-protected/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,"70,000 Phishing Emails Sent Impersonating the IRS: How to Stay Protected  You wake up, log in to your Outlook, and find an email waiting in your inbox from support@irs.gov. Much to your confusion, the email claims that you have an outstanding account balance that you must pay immediately, or you will face legal charges.   As it […]
The post 70,000 Phishing Emails Sent Impersonating the IRS: How to Stay Protected (https://www.mcafee.com/blogs/consumer/consumer-threat-notices/70000-phishing-emails-sent-impersonating-the-irs-how-to-stay-protected/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,"Think Beyond the Edge: Why SASE is Incomplete Without Endpoint DLP
https://www.mcafee.com/blogs/enterprise/cloud-security/think-beyond-the-edge-why-sase-is-incomplete-without-endpoint-dlp/",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,"The move to a distributed workforce came suddenly and swiftly. In February 2020, less than 40% of companies allowed most of their employees to work from home one day a week. By April, 77% of companies had most of their employees working exclusively from home. Organizations have been in the midst of digital transformation projects […]
The post Think Beyond the Edge: Why SASE is Incomplete Without Endpoint DLP (https://www.mcafee.com/blogs/enterprise/cloud-security/think-beyond-the-edge-why-sase-is-incomplete-without-endpoint-dlp/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,"Putting Protection to The Test
https://www.mcafee.com/blogs/consumer/putting-protection-to-the-test/",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,"Putting Protection to The Test  This year has thrown a lot of challenges at us, and our digital lives were not immune. As millions of people around the world suddenly switched to working and learning online from home during the pandemic, digital threats spiked, making security and performance essential. At McAfee, we are hyperaware of […]
The post Putting Protection to The Test (https://www.mcafee.com/blogs/consumer/putting-protection-to-the-test/) appeared first on McAfee Blogs (https://www.mcafee.com/blogs).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,"Top Phishing Lures to Look Out for This Holiday Season
https://www.mcafee.com/blogs/consumer/consumer-threat-notices/top-phishing-lures-to-look-out-for-this-holiday-season/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
